hotel_name,latitude,longitude,url
麗緻詩旅海景民宿-2025澎湖馬公花火節民宿住宿 無敵海景 商圈市區商旅住宿 團d,23.5629097,119.5653528,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AUy1YQ1kuMFE1B4Pph8QKKXwTKluNnsUNL7MHeeiMg4JAcfAMxB97JFCMJbIKQxxBBq_LrCFBQRJUZoZwr1lX30-2pMRnbWtGEyqCr2jGOGKRNtiyyHGtoGfb-Ihl0rR_fbXtsWXg4sZKKExwaFRfTiEx17Zj4BZPQD1os_JRROUetnSq97a61SC2-yzf55i4Lt8h1-ISDM-YcbGg7agqecP3EIF1InmuYYaQJISBk8d3fPYnakPntsmsr9wItiypbFxfsg7sNHrfO4DbG2A1MlbeS6-NcR8oU9qPlHt-NYTH9gq6hAE2SBecu7PkQ&key=AIzaSyBkBeV2pKxDvLzQmcCe1X6jkqWMFhVXiuI
起點旅行民宿 D.C. Inn はじまりのゲストハウス,23.56830219999999,119.5675955,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AUy1YQ2Mb9U80wlvW2xSF6sWM7qpHOnivcSN12MhyiVqTMCrVkvXvT3eWuxT4pUZItq0zibJdutMS6FgXHj34UVxQZd0F54tKBzV4ZmmRiiD2-RP0ej9jh9jnVZ2oDBx7jS289yjr3Bb17JRuKttWbZW-Lby_BXVe-NJAt19NYertMYyj5PynCZy1ANMBnotN7b5Y_RjcUh4Iuh5ZHLYn8fNPJbIfREjh5HUPcQCYYy9emliKv8_Nft0StEKHCur6oorSItDnCtWQnBXbZuMbPYVuu6xanmLNbspJSfbasx5tvincbe9ksG_x0nrsfhGOqi9eh0Yv0EY_1HA1onSj1q5KhkqepwMtHhMERIpJj0-NlprTu3QpMrpUB3ZmJh9-ETAmQHb7prqRKmoaOW66TeZeCZ0MeEbWaBTaEqBTcdYfle9&key=AIzaSyBkBeV2pKxDvLzQmcCe1X6jkqWMFhVXiuI
澎湖鹿角民宿,23.581218,119.5761298,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AUy1YQ15oE8VlwCGR1SZPJo8x4rL-pxF2slccZnG-_UU1tsDVszYuAsj3Oqa4pZ9w_CpQFexS5hdfjcRCWGNbeX2YdwG75M7ph_brxQg6f3gHWrtogCkfI1mCCBJXrmY9TCIzMtoIaJ6gBuib3ZSk69Zqufj6t9ZWsrFyuI1Uiu6UESRSsygwzWNywnew4xji7thEKJF6dUCXd58w4d3etX4yQZM99s5ZpBAj5XLM6OkDBOpUQG_RiSj3HgygFuXACrta5Noc1uxJToesy1yLzH_2Kkmy3DvZU4gu3epQRul1SqmaTOsaRmHCFl-XQ&key=AIzaSyBkBeV2pKxDvLzQmcCe1X6jkqWMFhVXiuI
家翔琳觀海民宿-馬公【海景第一排住宿｜溫馨接送服務｜提供早餐】,23.5732912,119.5669921,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AUy1YQ2nf-OOUxXgDu_cP30b9INgZzq0_jJNCJlDAPLrkQmo_xXGFN0I8WjSBfMH9jzpRo94_r6Tomy9wj9nqRkpMB64CJc34vGDV08I_jpgPCfnkBHFe01YcZ9LkmQ7xIa8hZN7PAJngOAWP3N3UhIJpJcFVT5bG0th7IkuDx-HnLkRRQ5qI6blZsyG9t_9Jjq7TByhlSk4F0IbqjYPl7Ro8q79Ffm9tqpAAonmItOz5gupo8zuDthIQC0J-qPSHtoNZQTsCDZ3HezHwVWiBOOvtgEC2BqUErfjcMI1BVQ9XsMgVCwvPd1vBUxv5g&key=AIzaSyBkBeV2pKxDvLzQmcCe1X6jkqWMFhVXiuI
和寓旅店 ZZ Inn,23.5661917,119.5673754,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AUy1YQ0AEJBEWPGeM-09FzhUaBoWMFxvkaGkRXrJgxwL6OIyZmHCckGZdlYjvB8TPoQ5XuCUTNS9ipMb_LxbgnwifilH1bSFmUkNw_KqMRo1xOu6fXfaj8-dU2uZhIEW-UE48eGhWu0dM8_0_cHVArDSKa9EOCPdNaiw5jnnByIiCsFniKoya9lAokD9iCCTkbvHTvMC6QkzJugfIGO3MFQMUFn5rQ_3Mi7b1pMeCYBsU2b2lL4quolHaD1QjgPYcGcFO_WsSmRvS4uiJf597edmZLV4i9_ldibXAxQbrnkaSTO0_qV7Bf39OPFoFxyJIyIhfCFjxbAwTAUjx49PMJgjBLy2fSpbxZoV7333axCCX2SVpBjTJI8PObJIJEPwfZ1aVT3II9KeDTdG3RBypV-X6aW-4C2jm6MMbbWqIbcXGyg2&key=AIzaSyBkBeV2pKxDvLzQmcCe1X6jkqWMFhVXiuI
澎湖綠的旅店,23.5742478,119.5703361,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AUy1YQ2xeawhH0BDFF6e1GJSx8MYnjZ4sboPuRL5Uzb3pw8Kn9jH3zVFmTIPebFrV1tEYCUJyRpwfV80nbgQwpv_asOHhCm_AaZTC1TzrfAj_w19Xg0zHFbq4P8q48ScXSCu0lW6LfYaNF8CoaDVTKEcPG1iS0oM5r95-2ZZX_ZJeEwESnwXbJ9ICedW9336061zKhVQmb8aDvf4fKKnNlGhykaBdSYPUHCLLDaZicLm-N6VR_ds99jdG1gtvCuMssbzKP7aZl7B39nSbT_Nxt4kJnVStfvNP9pBVuM_igAte-lI977SubjUzFvnvg&key=AIzaSyBkBeV2pKxDvLzQmcCe1X6jkqWMFhVXiuI
木子寓所Moozhouse,23.5824137,119.5785118,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AUy1YQ0Ugo1XcEX1B7IdCc9O2LWCjim95rH9w6-N_phRsQXalbUaE4xvwwym9GmCSI9WRjvMb6tC6txgdv3WEEUh3xftbfsE6g519BUbHRrZ9iONube2GvZvNdOMPOJmaWxaT3pSguVMXjGHpYdLZ5pijJy7gMFv8wy7qyHMjqpTsoqjudPn1MafElASb2dBTg6Y1ERd_nbybquyzuTa6ySFBOoonnaXze75uTQwj0LfSip7ze3fzR5MDa-k2cFFxRzLtZyk9VZgdJlwxW1mYdHBqhKAtv827uKr9ZYJ4NX1y9PFCXF_CP1cjG_1Aw&key=AIzaSyBkBeV2pKxDvLzQmcCe1X6jkqWMFhVXiuI
澎湖灣行旅,23.5634679,119.5599525,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AUy1YQ3OKaWIQyLwNn0K_nuGRuzPCGCcWegEVzTKtU1JdDune0BO7-UcTG0J1zxiHtNczLwyt5S599UdVj3z54IFj69E8bx6U09YxTWYsPdUkcF6ki1iHWr-7iPi2pu5hAoErk61oy7aBlR_NGnY-gSaisrvpqblBpvXXVuq9OxhNMygd46dA4zAEEsDRO2gYVK28YTaNTFWKcp9WKDjkboJY5r2HKhC3ueFmWLsOPczr4wayHBi5sGyGPTMuhJN3olE6gLrkVGgTSG7z2E-jVDSwbb0hIf1rMegP_oRYQ3CeAZd1kE1FJhnRb1Xmg&key=AIzaSyBkBeV2pKxDvLzQmcCe1X6jkqWMFhVXiuI
天空格子商旅Sky Square Business Travel,23.5618461,119.5832803,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AUy1YQ1Gj-m-_iDsxdxE-TwNEAtRhkf0zHjqIe5HWByIqUUxSuZ-FWvEu7ZEZbITowUW6GuWWkis2CoCzvC2fDsyqxa-fH_gS2y3_OZRvm8Oy50NMotvtEngKlHN7SHCwgEVsVLn1PgNcvIeUEScO5rNOMX9mVhCk7qi5Ikck4SocvDNLzBXwxK34f6nwNLDXei_ivdMhpIXE4PCRoiRAtbJtWpdXjQ1N0XCgumu4CV14UFIHodh3PhgLk3tPRCCfxLx6dB6aIXY5mC_KhTIgJHEf-mj4m2UhlBg10W2u9B-JobwaJVHvzVjWhfNyA&key=AIzaSyBkBeV2pKxDvLzQmcCe1X6jkqWMFhVXiuI
澎湖臨海居度假會館,23.5632514,119.5670471,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AUy1YQ1hiSZ8QRPnIx_xsg2k7Lg0KVgNNMSRN-ntBfYYQMr2FvCx3I2KmAdqkma2Rpo_wkq5GNhOUpsvS1Ohe7f8cULN3-Y9C-RLZSSxwDXYRVhoOo4GzLJWAEHARXAcXHfOaBu40Sz41pIY4fB_23Vj0UObF94wovJlV8syj7_omthF1VPWW32o2meuAIfILhSQx64aLXg5BA6t-1Z0gSoZ1XDUPELTzNleWDJf_OMcTtgshLGZXgRm3LpbQfzj5T-hWDMe54aFAZhUQtW-4Q7DDKXzc6bbbqSL8xrD2_PNFQet0UGk7m3DVzoNEw&key=AIzaSyBkBeV2pKxDvLzQmcCe1X6jkqWMFhVXiuI
